"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally"
"79","017","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Absentee/Military",8
"79","017","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Federal",0
"79","017","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Special Presidential",0
"79","017","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Affidavit",60
"79","017","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Ruben Diaz Sr. (Democratic)",439
"79","017","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Oswald Denis (Conservative)",18
"79","017","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Scattered",1
"79","018","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Public Counter",372
"79","018","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Manually Counted Emergency",0
"79","018","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Absentee/Military",5
"79","018","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Federal",0
"79","018","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Special Presidential",0
"79","018","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Affidavit",49
"79","018","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Ruben Diaz Sr. (Democratic)",374
"79","018","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Oswald Denis (Conservative)",7
"79","018","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Scattered",1
"79","019","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Public Counter",308
"79","019","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Manually Counted Emergency",0
"79","019","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Absentee/Military",4
"79","019","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Federal",0
"79","019","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Special Presidential",0
"79","019","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Affidavit",12
"79","019","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Ruben Diaz Sr. (Democratic)",269
"79","019","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Oswald Denis (Conservative)",4
"79","019","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Scattered",1
"79","021","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Public Counter",289
"79","021","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Manually Counted Emergency",0
"79","021","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Absentee/Military",10
"79","021","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Federal",1
"79","021","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Special Presidential",0
"79","021","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Affidavit",21
"79","021","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Ruben Diaz Sr. (Democratic)",279
"79","021","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Oswald Denis (Conservative)",5
"79","022","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Public Counter",243
"79","022","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Manually Counted Emergency",0
"79","022","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Absentee/Military",6
"79","022","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Federal",0
"79","022","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Special Presidential",0
"79","022","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Affidavit",32
"79","022","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Ruben Diaz Sr. (Democratic)",239
"79","022","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Oswald Denis (Conservative)",2
"79","023","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","32",1,"Public Counter",342
