PRESIDENT,District #,Vote,Obama D,McCain R,McCain IDC,McCain C,Obama WF,Calero SW,LaRiva S&L,McKinney G,Barr L,Nader Pop,Write-in,Void/Blank
,03|,321,182,105,8,9,9,0,1,0,2,3,0,2
,04|,817,385,335,22,27,10,1,0,1,5,8,0,23
,05|,552,278,195,17,26,12,0,2,1,5,10,0,6
,06|,483,258,172,16,20,8,0,0,1,3,2,0,3
,07|,431,214,169,8,17,11,0,0,0,6,2,1,3
,08|,585,297,211,22,19,16,0,0,2,4,6,1,7
,09|,743,371,281,23,44,9,0,0,1,4,8,0,2
,10|,441,209,183,16,21,8,1,0,0,1,1,0,1
,11|,451,246,159,11,18,5,0,1,0,0,4,0,7
,12|,492,256,182,13,16,10,0,1,3,3,2,0,6
TOWN   TOTAL,|1,67610,86112,63811,4176,5510,3275,99,60,265,1102,1513,37,1650
GRAND  TOTAL,|2,20504,24576,73616,4963,6393,4741,135,74,399,1328,1969,45,2265
,,,,,,,,,,,,,,
PRESIDENT,District #,Vote,Obama D,McCain R,McCain IDC,McCain C,Obama WF,Calero SW,LaRiva S&L,McKinney G,Barr L,Nader Pop,Write-in,Void/Blank
,,,,,,,,,,,,,,
1ST  WARD   ,,2611,1598,733,70,46,57,2,1,2,19,27,0,56
2ND  WARD   ,,1114,738,256,26,24,29,1,1,4,2,12,0,21
3RD  WARD   ,,2589,1563,743,60,61,67,7,2,11,16,21,1,37
4TH  WARD   ,,4764,2922,1359,105,119,107,6,1,12,33,44,0,56
5TH  WARD   ,,4363,2690,1176,118,105,133,1,0,13,29,58,1,39
6TH  WARD   ,,2537,1777,543,46,36,56,2,0,13,4,23,0,37
7TH  WARD   ,,1349,829,379,26,26,37,3,0,1,10,21,0,17
8TH  WARD   ,,1639,1167,315,29,32,35,1,0,3,9,18,0,30
9TH  WARD   ,,1231,976,175,11,12,34,0,0,0,7,6,0,10
10TH WARD   ,,1227,1025,119,10,18,33,2,0,2,1,4,0,13
11TH WARD   ,,2609,1750,612,42,49,75,4,4,7,13,27,0,26
12TH WARD   ,,2060,1708,226,13,38,41,1,1,2,3,10,0,17
13TH WARD   ,,4187,3215,657,47,77,104,0,1,11,9,33,1,32
14TH WARD   ,,5376,3917,1040,67,107,110,1,0,7,15,42,1,69
15TH WARD   ,,358,303,36,4,2,6,0,0,0,0,6,0,1
16TH WARD   ,,2635,2124,286,34,25,99,0,0,10,14,9,0,34
17TH WARD   ,,7633,6188,817,52,72,303,4,2,30,27,70,3,65
18TH WARD   ,,873,811,24,3,6,20,0,0,1,0,0,0,8
19TH WARD   ,,3739,3163,309,24,28,120,1,1,5,15,25,1,47
WARD   TOTAL,,52894,38464,9805,787,883,1466,36,14,134,226,456,8,615
CAMILLUS    ,,13658,6818,5340,309,476,260,9,3,26,119,139,1,158
CICERO      ,,15168,7491,6101,424,480,314,7,2,20,85,130,1,113
CLAY        ,,28737,15227,10530,715,902,624,14,7,40,195,276,5,202
DEWITT      ,,13357,7669,4358,305,352,278,8,6,26,69,108,3,175
ELBRIDGE    ,,2821,1285,1142,86,120,79,3,0,2,21,43,0,40
FABIUS      ,,1077,508,455,30,44,12,1,0,1,4,2,5,15
GEDDES      ,,9374,4805,3592,239,250,189,12,11,13,55,91,1,116
LAFAYETTE   ,,2798,1222,1213,88,137,51,0,1,7,26,27,0,26
LYSANDER    ,,11188,5334,4721,287,386,193,3,2,15,98,74,3,72
MANLIUS     ,,18793,9937,7080,415,583,299,14,3,27,123,128,3,181
MARCELLUS   ,,3645,1833,1417,99,128,75,0,1,8,16,34,0,34
ONONDAGA    ,,12031,6056,4604,313,462,228,9,4,23,86,125,4,117
OTISCO      ,,1383,559,651,39,60,27,1,0,3,14,16,0,13
POMPEY      ,,3963,1856,1677,94,169,61,1,4,5,20,35,1,40
SALINA      ,,16256,8825,5727,394,455,353,11,10,24,89,158,4,206
SKANEATELES ,,4575,2327,1838,94,136,65,3,1,5,23,46,1,36
SPAFFORD    ,,1030,522,403,21,28,13,0,0,2,13,8,0,20
TULLY       ,,1552,732,637,45,59,33,1,0,4,7,16,3,15
VAN BUREN   ,,6204,3106,2325,179,283,121,2,5,14,39,57,2,71
TOWN   TOTAL,,167610,86112,63811,4176,5510,3275,99,60,265,1102,1513,37,1650
GRAND  TOTAL,,220504,124576,73616,4963,6393,4741,135,74,399,1328,1969,45,2265
ç                                                                                                                                    ,,,,,,,,,,,,,,
CONGRESS,District #,Voted,Maffei D,Sweetland R,Sweetland C,Maffei WF,Hawkins Pop,Write-in,Voids/Blanks,,,,,
,,,,,,,,,,,,,,
1ST WARD,01|,398,219,119,13,17,10,0,20,,,,,
,02|,305,164,73,6,11,15,0,36,,,,,
,03|,375,223,73,9,12,14,0,44,,,,,
,04|,389,214,86,9,14,20,0,46,,,,,
,05|,274,162,58,9,7,12,0,26,,,,,
,06|,265,149,36,5,11,15,0,49,,,,,
,07|,300,164,76,5,12,19,0,24,,,,,
,08|,303,176,69,7,8,18,0,25,,,,,
2ND WARD,01|,330,178,72,6,15,19,0,40,,,,,
,02|,426,255,88,14,10,17,0,42,,,,,
,03|,358,216,59,12,10,25,0,36,,,,,
3RD WARD,01|,106,50,24,2,1,9,0,20,,,,,
,02|,370,217,67,7,15,8,0,56,,,,,
,03|,489,272,122,15,18,23,0,39,,,,,
,04|,370,206,55,7,24,17,0,61,,,,,
,05|,368,186,104,8,23,16,0,31,,,,,
,06|,425,242,85,15,17,27,0,39,,,,,
,07|,460,249,116,14,19,27,0,35,,,,,
4TH WARD,01|,416,241,71,19,14,29,0,42,,,,,
,02|,420,225,97,21,18,22,0,37,,,,,
,03|,509,258,164,14,12,18,0,43,,,,,
,04|,416,182,155,12,8,19,0,40,,,,,
,05|,533,266,174,18,14,30,0,31,,,,,
,06|,394,215,116,12,12,19,0,20,,,,,
,07|,417,210,121,15,8,38,0,25,,,,,
,08|,567,329,106,18,21,29,0,64,,,,,
,09|,420,233,90,10,20,31,0,36,,,,,
,10|,381,213,94,10,15,18,0,31,,,,,
,11|,290,182,58,6,9,10,0,25,,,,,
5TH WARD,01|,606,347,122,13,26,48,0,50,,,,,
,02|,321,165,101,11,8,12,0,24,,,,,
,04|,491,275,121,22,17,32,0,24,,,,,
,05|,393,217,99,8,14,26,0,29,,,,,
,06|,516,298,118,16,19,28,0,37,,,,,
,07|,509,264,137,26,17,32,0,33,,,,,
,08|,0,0,0,0,0,0,0,0,,,,,
,09|,460,228,135,23,16,28,0,30,,,,,
,10|,564,310,136,15,20,32,0,51,,,,,
,11|,500,297,131,10,8,23,0,31,,,,,
6TH WARD,01|,461,308,67,6,16,27,0,37,,,,,
,02|,480,312,85,5,13,23,0,42,,,,,
,03|,367,218,64,11,14,11,1,48,,,,,
,04|,189,109,42,2,4,11,0,21,,,,,
,05|,398,218,110,17,13,12,0,28,,,,,
,06|,269,159,49,4,7,13,0,37,,,,,
,07|,370,209,71,12,15,20,0,43,,,,,
7TH WARD,01|,312,154,92,5,9,20,0,32,,,,,
,02|,395,199,105,14,13,32,0,32,,,,,
,03|,363,188,109,8,9,24,0,25,,,,,
,04|,277,136,79,14,4,22,0,22,,,,,
8TH WARD,01|,345,244,12,0,12,6,0,71,,,,,
,02|,446,247,115,19,12,25,0,28,,,,,
,03|,216,151,21,5,7,8,0,24,,,,,
,04|,174,96,33,5,6,11,0,23,,,,,
,05|,458,262,110,12,13,38,0,23,,,,,
9TH WARD,01|,310,186,55,9,5,15,0,40,,,,,
,02|,432,260,77,8,14,17,0,56,,,,,
,03|,41,27,7,0,0,4,0,3,,,,,
,05|,448,319,9,1,21,3,0,95,,,,,
10TH WARD,01|,237,167,28,6,5,9,0,22,,,,,
,02|,27,16,1,0,0,6,0,4,,,,,
,03|,400,259,27,6,21,14,0,73,,,,,
,04|,292,233,12,4,7,11,0,25,,,,,
,05|,271,166,32,7,4,19,0,43,,,,,
11TH WARD,01|,282,181,29,8,11,18,0,35,,,,,
,02|,339,206,54,8,18,16,0,37,,,,,
,03|,432,267,80,8,20,19,0,38,,,,,
,04|,371,207,105,9,4,30,0,16,,,,,
,05|,227,153,24,2,14,7,0,27,,,,,
,06|,91,56,15,5,3,8,0,4,,,,,
,07|,428,172,196,13,4,18,0,25,,,,,
,08|,438,233,135,11,9,36,0,14,,,,,
12TH WARD,01|,514,412,11,2,18,11,0,60,,,,,
,02|,276,230,7,1,5,4,0,29,,,,,
,03|,43,27,9,2,2,1,0,2,,,,,
,04|,458,320,57,3,14,18,0,46,,,,,
,05|,329,204,55,20,11,23,0,16,,,,,
,06|,438,255,110,13,10,33,0,17,,,,,
13TH WARD,01|,588,446,41,1,14,19,0,67,,,,,
,02|,306,217,28,5,11,18,0,27,,,,,
,03|,515,284,126,13,22,40,0,30,,,,,
,04|,426,252,86,14,17,30,0,27,,,,,
,05|,590,392,89,16,21,27,1,44,,,,,
,06|,576,457,20,5,15,18,0,61,,,,,
,07|,71,43,15,0,1,4,0,8,,,,,
,08|,297,182,59,9,11,13,0,23,,,,,
,09|,365,197,94,11,12,25,0,26,,,,,
,10|,452,279,84,20,13,22,0,34,,,,,
14TH WARD,01|,378,306,15,3,13,14,0,27,,,,,
,02|,335,269,24,1,4,10,0,27,,,,,
,03|,544,420,38,10,17,18,0,41,,,,,
,04|,472,330,54,7,11,21,0,49,,,,,
,05|,232,131,68,6,6,9,0,12,,,,,
,06|,532,290,137,20,15,35,0,35,,,,,
,07|,513,238,188,26,14,17,0,30,,,,,
,08|,412,285,39,9,16,18,0,45,,,,,
,09|,399,209,116,10,5,15,0,44,,,,,
,10|,357,231,49,11,9,18,0,39,,,,,
,11|,551,310,137,27,24,25,0,28,,,,,
,12|,452,253,115,17,7,11,0,49,,,,,
,13|,195,124,29,2,7,7,0,26,,,,,
15TH WARD,02|,66,45,4,1,1,4,0,11,,,,,
,03|,180,103,30,4,5,13,0,25,,,,,
,04|,111,82,3,0,5,4,0,17,,,,,
16TH WARD,01|,886,512,90,8,25,26,0,225,,,,,
,02|,227,129,25,6,11,30,0,26,,,,,
,03|,314,210,31,3,23,27,2,18,,,,,
,04|,706,384,71,7,7,29,0,208,,,,,
,05|,490,349,49,2,29,33,0,28,,,,,
17TH WARD,01|,439,296,44,12,33,48,0,6,,,,,
,02|,457,316,53,7,15,46,1,19,,,,,
,03|,401,253,32,4,30,45,0,37,,,,,
,04|,419,291,24,3,28,46,0,27,,,,,
,05|,374,242,24,1,31,40,0,36,,,,,
,06|,409,363,13,0,3,7,0,23,,,,,
,07|,591,436,52,7,23,27,0,46,,,,,
,08|,396,295,41,7,13,11,1,28,,,,,
,09|,532,387,78,5,26,24,0,12,,,,,
,10|,518,410,41,1,8,14,0,44,,,,,
,11|,357,290,20,5,10,5,0,27,,,,,
,12|,455,298,66,7,14,54,0,16,,,,,
,13|,484,310,100,10,15,21,0,28,,,,,
,14|,473,366,40,1,17,15,0,34,,,,,
,15|,613,382,142,20,15,33,0,21,,,,,
,16|,395,270,55,10,12,19,0,29,,,,,
,17|,301,194,51,1,9,15,0,31,,,,,
,18|,10,8,1,0,0,0,0,1,,,,,
18TH WARD,01|,359,290,6,1,4,6,0,52,,,,,
,02|,514,403,16,7,20,14,0,54,,,,,
19TH WARD,01|,444,375,13,3,10,9,0,34,,,,,
,02|,405,317,18,3,13,12,0,42,,,,,
,03|,863,564,113,12,14,36,0,124,,,,,
,04|,373,289,13,1,7,7,0,56,,,,,
,05|,492,372,20,6,21,13,0,60,,,,,
,06|,541,348,47,5,32,48,0,61,,,,,
,07|,348,222,55,7,19,39,0,6,,,,,
,08|,266,162,46,6,16,25,0,11,,,,,
WARD,|,52845,32971,9205,1173,1776,2757,6,4957,,,,,
,,,,,,,,,,,,,,
CONGRESS,District #,Voted,Maffei D,Sweetland R,Sweetland C,Maffei WF,Hawkins Pop,Write-in,Voids/Blanks,,,,,
,,,,,,,,,,,,,,
CAMILLUS,01|,664,256,289,34,16,23,0,46,,,,,
,02|,790,381,272,31,24,24,0,58,,,,,
,03|,283,141,97,3,4,9,0,29,,,,,
,04|,595,281,205,31,11,24,0,43,,,,,
,05|,621,289,238,23,11,26,0,34,,,,,
,06|,432,206,140,23,15,17,0,31,,,,,
,07|,1020,383,454,57,25,33,0,68,,,,,
,08|,292,123,118,14,7,6,0,24,,,,,
,09|,503,239,175,21,16,16,0,36,,,,,
,10|,513,241,186,14,13,25,0,34,,,,,
,11|,551,253,197,24,16,20,0,41,,,,,
,12|,336,166,112,10,9,9,0,30,,,,,
,13|,581,264,182,26,19,29,0,61,,,,,
,14|,459,171,223,24,6,9,0,26,,,,,
,15|,578,249,239,25,16,12,0,37,,,,,
,16|,614,280,218,23,25,26,2,40,,,,,
,17|,424,174,162,25,17,20,0,26,,,,,
,18|,527,220,209,23,13,10,0,52,,,,,
,19|,470,177,224,23,3,19,0,24,,,,,
,20|,503,215,168,36,17,18,0,49,,,,,
,21|,345,159,115,13,12,15,0,31,,,,,
,22|,385,186,144,14,10,14,0,17,,,,,
,23|,434,169,190,21,15,12,0,27,,,,,
,24|,548,214,240,21,10,13,0,50,,,,,
,25|,430,213,137,13,19,14,0,34,,,,,
,26|,750,329,296,28,20,26,1,50,,,,,
CICERO,01|,314,129,114,18,15,8,0,30,,,,,
,02|,647,263,255,39,23,16,0,51,,,,,
,03|,559,269,185,23,14,20,0,48,,,,,
,04|,762,327,260,30,30,30,0,85,,,,,
,05|,506,242,149,21,23,16,0,55,,,,,
,06|,386,172,129,19,20,15,0,31,,,,,
,07|,625,237,256,28,22,17,0,65,,,,,
,08|,566,224,244,16,18,17,0,47,,,,,
,09|,302,150,92,17,12,7,0,24,,,,,
,10|,470,205,183,18,14,22,0,28,,,,,
,11|,430,177,169,12,7,18,0,47,,,,,
,12|,675,318,239,29,19,15,0,55,,,,,
,13|,607,291,200,22,20,15,0,59,,,,,
,14|,565,265,199,21,16,12,0,52,,,,,
,15|,359,155,140,15,12,8,0,29,,,,,
,16|,1087,472,450,45,30,19,0,71,,,,,
,17|,573,267,195,26,27,11,0,47,,,,,
,18|,247,126,82,11,4,13,0,11,,,,,
,19|,605,290,211,24,17,18,0,45,,,,,
,20|,365,164,143,17,8,11,0,22,,,,,
,21|,637,243,257,50,21,10,0,56,,,,,
,22|,244,117,79,11,13,15,0,9,,,,,
,23|,564,249,211,22,12,13,0,57,,,,,
,24|,658,299,242,27,17,11,0,62,,,,,
,25|,599,283,217,21,16,13,0,49,,,,,
,26|,640,297,235,27,13,12,0,56,,,,,
,27|,510,264,161,22,15,9,0,39,,,,,
,28|,662,326,224,29,18,18,0,47,,,,,
CLAY,01|,616,226,260,35,20,28,0,47,,,,,
,02|,501,254,138,25,33,14,0,37,,,,,
,03|,651,317,200,33,23,22,0,56,,,,,
,04|,656,321,219,34,16,15,0,51,,,,,
,05|,286,151,89,10,3,7,0,26,,,,,
,06|,397,185,123,20,23,9,0,37,,,,,
,07|,540,243,213,28,6,8,0,42,,,,,
,08|,373,177,135,15,12,10,0,24,,,,,
,09|,395,197,122,20,20,11,0,25,,,,,
,10|,468,218,141,18,25,18,0,48,,,,,
,11|,506,250,136,18,23,19,0,60,,,,,
,12|,661,263,254,24,16,25,0,79,,,,,
,13|,434,217,140,22,15,13,0,27,,,,,
,14|,599,272,234,24,14,19,0,36,,,,,
,15|,959,569,182,28,34,28,0,118,,,,,
,16|,508,227,193,24,9,18,0,37,,,,,
,17|,456,199,177,16,23,15,0,26,,,,,
,18|,585,279,221,20,13,15,0,37,,,,,
,19|,491,206,190,28,17,16,0,34,,,,,
,20|,426,167,164,23,25,9,0,38,,,,,
,21|,572,273,209,23,10,14,0,43,,,,,
,22|,554,256,208,16,11,23,0,40,,,,,
,23|,487,244,149,26,18,12,0,38,,,,,
,24|,310,149,89,10,9,10,0,43,,,,,
,25|,452,230,131,22,16,14,0,39,,,,,
,26|,605,276,219,24,16,28,0,42,,,,,
,27|,600,203,262,28,24,24,0,59,,,,,
,28|,545,282,162,20,19,13,0,49,,,,,
,29|,569,240,224,28,21,15,0,41,,,,,
,30|,374,167,121,24,10,12,0,40,,,,,
,31|,442,198,170,14,13,19,0,28,,,,,
,32|,577,250,252,18,6,6,0,45,,,,,
,33|,704,347,222,23,31,22,0,59,,,,,
,34|,657,323,214,29,18,16,0,57,,,,,
,35|,588,287,209,24,16,12,0,40,,,,,
,36|,437,226,143,12,8,14,0,34,,,,,
,37|,379,141,156,24,17,13,0,28,,,,,
,38|,493,256,147,13,11,20,0,46,,,,,
,39|,915,483,249,20,53,25,0,85,,,,,
,40|,407,188,143,21,11,15,0,29,,,,,
,41|,359,180,111,11,10,14,0,33,,,,,
,42|,631,322,202,28,15,18,0,46,,,,,
,43|,706,358,218,29,16,26,0,59,,,,,
,44|,762,360,263,35,19,20,0,65,,,,,
,45|,557,248,193,25,24,19,0,48,,,,,
,46|,723,314,289,35,26,9,0,50,,,,,
,47|,679,349,226,25,15,14,0,50,,,,,
,48|,605,313,184,15,20,21,0,52,,,,,
,49|,751,318,315,25,13,22,0,58,,,,,
,50|,927,439,305,37,26,23,1,96,,,,,
,51|,844,375,316,30,19,17,0,87,,,,,
DEWITT,01|,533,234,207,36,7,20,0,29,,,,,
,02|,683,378,203,21,16,25,0,40,,,,,
,03|,554,309,174,21,11,16,0,23,,,,,
,04|,598,293,228,23,9,20,0,25,,,,,
,05|,594,314,183,16,11,34,0,36,,,,,
,06|,607,293,255,7,15,10,0,27,,,,,
,07|,393,183,114,18,13,21,0,44,,,,,
,08|,374,163,140,17,11,11,0,32,,,,,
,09|,380,189,98,21,17,17,0,38,,,,,
,10|,587,304,203,26,13,11,0,30,,,,,
,11|,424,188,154,13,13,16,1,39,,,,,
,12|,499,206,197,23,22,15,0,36,,,,,
,13|,356,181,102,13,8,20,0,32,,,,,
,14|,395,236,71,10,15,14,0,49,,,,,
,15|,456,204,193,11,17,10,0,21,,,,,
,16|,344,181,114,9,4,12,0,24,,,,,
,17|,206,117,49,10,8,9,0,13,,,,,
,18|,444,218,155,15,8,23,0,25,,,,,
,19|,633,280,258,21,15,12,0,47,,,,,
,20|,585,259,207,33,22,18,0,46,,,,,
,21|,682,362,199,19,35,17,0,50,,,,,
,22|,403,250,77,10,8,22,0,36,,,,,
,23|,746,348,311,20,19,18,0,30,,,,,
,24|,560,339,148,14,12,16,0,31,,,,,
,25|,474,256,120,18,17,20,0,43,,,,,
,26|,442,223,148,16,7,18,0,30,,,,,
,27|,393,168,185,10,6,8,0,16,,,,,
ELBRIDGE,01|,525,195,206,31,25,24,0,44,,,,,
,02|,475,191,167,33,16,25,0,43,,,,,
,03|,639,221,254,39,29,42,0,54,,,,,
,04|,288,105,122,17,10,12,1,21,,,,,
,05|,440,160,183,28,18,16,0,35,,,,,
,06|,454,195,183,16,13,17,0,30,,,,,
FABIUS,01|,667,139,448,46,4,14,0,16,,,,,
,02|,410,110,230,36,3,16,0,15,,,,,
GEDDES,01|,384,199,114,19,9,11,0,32,,,,,
,02|,325,149,101,12,16,15,0,32,,,,,
,03|,338,168,114,13,8,8,0,27,,,,,
,04|,316,152,109,10,7,9,0,29,,,,,
,05|,615,274,215,17,15,29,0,65,,,,,
,06|,551,258,180,14,17,28,0,54,,,,,
,07|,522,238,200,11,13,21,0,39,,,,,
,08|,641,319,221,22,8,27,0,44,,,,,
,09|,234,111,72,9,8,13,0,21,,,,,
,10|,472,234,168,13,16,17,0,24,,,,,
,11|,452,195,194,13,10,21,0,19,,,,,
,12|,464,205,165,17,5,18,0,54,,,,,
,13|,384,180,135,12,12,12,0,33,,,,,
,14|,405,215,111,14,8,14,0,43,,,,,
,15|,621,288,235,22,13,25,0,38,,,,,
,16|,435,197,169,17,12,18,0,22,,,,,
,17|,641,276,238,21,32,14,0,60,,,,,
,18|,399,158,169,23,14,11,0,24,,,,,
,19|,222,112,57,13,12,10,0,18,,,,,
,20|,504,226,171,20,22,24,0,41,,,,,
,21|,448,178,192,20,15,15,0,28,,,,,
LAFAYETTE,01|,364,102,172,35,7,18,0,30,,,,,
,02|,667,176,359,51,14,23,0,44,,,,,
,03|,664,226,302,36,18,24,0,58,,,,,
,04|,542,168,268,42,16,17,0,31,,,,,
,05|,559,202,253,28,13,26,0,37,,,,,
LYSANDER,01|,587,208,243,39,13,29,0,55,,,,,
,02|,474,166,197,35,18,18,0,40,,,,,
,03|,524,185,212,31,19,33,0,44,,,,,
,04|,390,167,154,24,10,15,0,20,,,,,
,05|,424,172,161,17,16,17,0,41,,,,,
,06|,424,162,185,18,6,18,0,35,,,,,
,07|,433,188,158,13,17,8,0,49,,,,,
,08|,845,328,368,48,27,21,0,53,,,,,
,09|,567,228,225,32,14,19,0,49,,,,,
,10|,342,156,130,15,11,14,0,16,,,,,
,11|,443,176,189,23,11,15,0,29,,,,,
,12|,618,270,228,32,20,19,0,49,,,,,
,13|,755,304,321,31,14,26,0,59,,,,,
,14|,380,166,163,9,6,13,1,22,,,,,
,15|,542,208,256,21,10,11,0,36,,,,,
,16|,583,219,257,24,13,17,0,53,,,,,
,17|,466,220,149,9,14,14,0,60,,,,,
,18|,552,225,231,27,9,23,0,37,,,,,
,19|,907,355,400,27,25,20,0,80,,,,,
,20|,930,367,427,48,14,13,0,61,,,,,
MANLIUS,01|,583,222,201,44,21,36,0,59,,,,,
,02|,671,275,252,21,21,31,0,71,,,,,
,03|,527,218,221,18,8,17,0,45,,,,,
,04|,495,247,187,10,6,14,0,31,,,,,
,05|,428,204,146,24,8,21,0,25,,,,,
,06|,324,151,131,8,6,4,0,24,,,,,
,07|,531,238,191,33,7,31,0,31,,,,,
,08|,571,269,223,21,15,16,0,27,,,,,
,09|,569,244,217,24,24,15,0,45,,,,,
,10|,738,325,268,39,20,25,0,61,,,,,
,11|,483,206,220,14,5,12,1,25,,,,,
,12|,641,286,267,21,17,15,0,35,,,,,
,13|,344,145,137,17,8,8,0,29,,,,,
,14|,571,239,235,20,7,16,0,54,,,,,
,15|,432,158,188,21,11,14,1,39,,,,,
,16|,619,298,203,19,17,24,0,58,,,,,
,17|,578,259,255,25,12,9,1,17,,,,,
,18|,611,244,262,28,5,26,0,46,,,,,
,19|,350,152,123,11,13,13,0,38,,,,,
,20|,459,249,160,12,9,9,0,20,,,,,
,21|,525,276,165,19,11,21,0,33,,,,,
,22|,680,330,253,26,13,13,0,45,,,,,
,23|,445,218,160,15,9,10,0,33,,,,,
,24|,645,259,267,34,15,20,0,50,,,,,
,25|,652,293,283,23,7,12,0,34,,,,,
,26|,664,310,273,18,9,21,0,33,,,,,
,27|,506,211,219,21,7,15,0,33,,,,,
,28|,463,186,194,26,19,10,0,28,,,,,
,29|,375,165,156,11,10,11,0,22,,,,,
,30|,448,165,220,22,7,8,0,26,,,,,
,31|,685,291,309,26,12,11,0,36,,,,,
,32|,422,194,163,16,3,13,0,33,,,,,
,33|,569,265,231,13,10,18,0,32,,,,,
,34|,592,286,239,18,5,15,0,29,,,,,
,35|,588,211,306,23,4,13,0,31,,,,,
MARCELLUS,01|,530,252,188,20,13,28,0,29,,,,,
,02|,521,156,260,31,17,25,0,32,,,,,
,03|,545,203,236,24,17,25,1,39,,,,,
,04|,652,284,253,36,25,23,0,31,,,,,
,05|,684,260,282,37,14,32,0,59,,,,,
,06|,713,298,286,34,23,23,0,49,,,,,
ONONDAGA,01|,514,151,260,29,20,27,0,27,,,,,
,02|,731,315,293,18,20,30,1,54,,,,,
,03|,662,264,302,28,8,25,0,35,,,,,
,04|,600,272,211,23,24,21,0,49,,,,,
,05|,743,359,252,32,17,28,1,54,,,,,
,06|,507,191,205,29,9,30,0,43,,,,,
,07|,296,92,136,23,10,16,0,19,,,,,
,08|,382,208,99,16,12,16,0,31,,,,,
,09|,726,282,307,38,19,26,0,54,,,,,
,10|,552,161,248,39,20,41,0,43,,,,,
,11|,574,230,246,28,14,23,0,33,,,,,
,12|,523,223,214,22,12,23,0,29,,,,,
,13|,715,294,311,34,8,39,0,29,,,,,
,14|,674,280,254,28,17,30,0,65,,,,,
,15|,374,182,133,16,8,16,0,19,,,,,
,16|,667,324,239,28,9,28,0,39,,,,,
,17|,837,290,404,43,19,21,0,60,,,,,
,18|,584,248,239,31,12,21,0,33,,,,,
,19|,406,143,172,31,14,23,0,23,,,,,
,20|,367,139,140,35,11,12,0,30,,,,,
,21|,594,249,247,37,15,27,0,19,,,,,
OTISCO,01|,828,222,443,66,18,41,0,38,,,,,
,02|,553,202,251,26,17,29,0,28,,,,,
POMPEY,01|,693,145,457,44,2,20,0,25,,,,,
,02|,567,176,298,30,14,21,0,28,,,,,
,03|,700,271,325,35,6,23,1,39,,,,,
,04|,741,265,342,49,13,22,0,50,,,,,
,05|,647,179,345,58,10,18,0,37,,,,,
,06|,615,208,311,28,10,21,0,37,,,,,
SALINA,01|,534,247,195,21,12,18,0,41,,,,,
,02|,392,189,130,21,11,10,0,31,,,,,
,03|,576,257,224,30,22,20,0,23,,,,,
,04|,403,184,153,11,8,21,0,26,,,,,
,05|,436,207,149,9,17,16,0,38,,,,,
,06|,384,214,87,11,17,10,0,45,,,,,
,07|,519,264,146,15,20,20,0,54,,,,,
,08|,534,255,180,23,18,16,0,42,,,,,
,09|,275,150,63,7,9,13,0,33,,,,,
,10|,483,255,144,12,13,7,0,52,,,,,
,11|,294,148,99,19,4,5,0,19,,,,,
,12|,591,292,215,19,15,9,0,41,,,,,
,13|,485,218,183,25,9,16,0,34,,,,,
,14|,391,147,173,16,12,7,0,36,,,,,
,15|,377,201,107,18,13,11,0,27,,,,,
,16|,529,240,155,25,22,31,0,56,,,,,
,17|,444,234,113,15,18,22,0,42,,,,,
,18|,413,218,111,12,20,16,0,36,,,,,
,19|,494,238,151,15,25,20,0,45,,,,,
,20|,606,327,160,21,24,20,0,54,,,,,
,21|,413,175,138,24,22,17,0,37,,,,,
,22|,368,179,94,24,19,15,0,37,,,,,
,23|,466,229,154,14,9,14,0,46,,,,,
,24|,561,266,173,30,18,18,0,56,,,,,
,25|,507,218,192,24,16,8,0,49,,,,,
,26|,381,199,116,6,8,8,0,44,,,,,
,27|,321,160,85,15,14,10,0,37,,,,,
,28|,288,135,90,16,9,8,0,30,,,,,
,29|,532,268,157,23,16,16,0,52,,,,,
,30|,639,307,222,21,26,10,0,53,,,,,
,31|,494,250,155,18,17,12,0,42,,,,,
,32|,411,212,120,9,7,11,0,52,,,,,
,33|,441,201,152,21,21,14,0,32,,,,,
,34|,272,150,61,8,12,11,0,30,,,,,
,35|,430,210,157,14,9,10,0,30,,,,,
,36|,567,257,211,14,14,20,1,50,,,,,
SKANEATELES,01|,654,221,334,22,8,14,0,55,,,,,
,02|,598,227,268,31,16,10,0,46,,,,,
,03|,528,237,198,10,9,20,0,54,,,,,
,04|,653,253,295,23,12,24,0,46,,,,,
,05|,665,261,269,38,17,27,0,53,,,,,
,06|,361,138,145,14,11,17,1,35,,,,,
,07|,596,247,271,16,11,13,0,38,,,,,
,08|,518,204,234,25,10,11,0,34,,,,,
SPAFFORD,01|,717,252,356,28,8,33,0,40,,,,,
,02|,313,119,130,17,3,19,0,25,,,,,
TULLY,01|,461,145,221,30,11,25,0,29,,,,,
,02|,579,160,313,34,12,34,0,26,,,,,
,03|,510,179,241,27,9,23,0,31,,,,,
VAN BUREN,01|,506,176,202,52,12,25,0,39,,,,,
,02|,382,163,124,31,13,12,0,39,,,,,
,03|,321,149,91,12,18,21,0,30,,,,,
,04|,817,328,325,40,20,25,0,79,,,,,
,05|,552,231,197,27,12,33,0,52,,,,,
,06|,483,234,141,21,18,20,0,49,,,,,
,07|,431,197,158,15,8,22,0,31,,,,,
,08|,585,263,199,26,19,23,0,55,,,,,
,09|,743,302,261,49,22,31,0,78,,,,,
,10|,441,189,160,26,12,21,0,33,,,,,
,11|,451,206,152,19,13,20,0,41,,,,,
