0177I Following is a set of records pertinent to the Presidential Primary held on Tuesday, April 24, 2012, originated at Suffolk County Board of Elections on July 3, 2012 at 1:13 PM
0064RPresident of The United States          U     1047030102801
0044CGINGRICH, NEWT           REP 001908 1B 
0044CPAUL, RON                REP 002171 1A 
0044CROMNEY, MITT             REP 013084 1C 
0044CSANTORUM, RICK           REP 000852 1D 
0068E1265P1136000043              11 2 1 600-40000000003000200390003
0068E1266P0303000009              13 1 3 400-20000000001000300070000
0068E1267P0336000018              11 1 6 200-40000000004000300120003
0068E1268P0403000016              13 2 3 600-10000000002000200110002
0068E1269P0251000011              11 1 3 400000000000001000100060003
0068E1270P0465000122              11 1 6 200-70000000010000900990011
0068E1271P0771000024              13 3 7 500-50000000004000700160002
0068E1272P0388000024              11 2 1 600000000000001000200200001
0068E1273P0342000017              13 2 3 400000000000004000300080002
0068E1274P0227000009              11 2 3 600-10000000002000200060000
0068E1275P0239000007              11 3 3 400-50000000002000000070003
0068E1276P0128000001              11 3 4 400000000000000000000010000
0068E1277P0101000002              13 3 3 400-20000000001000000030000
0068E1278P0011000001              13 3 3 400000000000000000000010000
0068E1279P0190000011              11 2 1 600000000000000000100100000
0068E1280P0012000000              12 7 4 300000000000000000000000000
0068E1281P0002000000              12 512 300000000000000000000000000
0068E1282P0006000000              12 512 300000000000000000000000000
0068E1283P0011000000              13 3 3 600000000000000000000000000
0068E1284P0480000092              11 1 6 40-110000000011001100760005
0068E1285P0329000018              11 2 3 600-10000000001000300150000
0068E1286P0440000023              11 1 6 200-10000000005000600130000
0068E1287P0266000015              11 2 3 600-30000000002000300110002
0068E1288P0373000024              11 4 6 100-60000000000000900200001
0068E1289P0219000007              13 3 3 400-10000000003000200010002
0068E1290P0489000028              11 2 1 600-30000000002000600200003
0068E1291P0233000006              11 3 3 600-10000000001000400010001
0068E1292P0326000015              12 4 5 100-10000000003000000120001
0068E1293P0245000017              11 1 6 200-20000000002000400120001
0068E1294P0324000014              13 5 7 400000000000002000000120000
0068E2001P0424000029              251018  00-10000000002000100270000
