,,"Statement and Return Report

for Certification



Presidential Primary Election 2020 - 06/23/2020


Kings County
 - 
Democratic Party




Democratic President


Citywide


Vote for 1","7th Congressional District","Assembly District 49","Pete Buttigieg",14,,,,,,,"Total Votes",861,"Unrecorded",15,,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, August 25, 2020.","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk","Page -1 of 1"
,,"Statement and Return Report

for Certification



Presidential Primary Election 2020 - 06/23/2020


Kings County
 - 
Democratic Party




Democratic President


Citywide


Vote for 1","7th Congressional District","Assembly District 49","Amy Klobuchar",3,,,,,,,"Total Votes",861,"Unrecorded",15,,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, August 25, 2020.","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk","Page -1 of 1"
,,"Statement and Return Report

for Certification



Presidential Primary Election 2020 - 06/23/2020


Kings County
 - 
Democratic Party




Democratic President


Citywide


Vote for 1","7th Congressional District","Assembly District 49","Joseph R. Biden",444,,,,,,,"Total Votes",861,"Unrecorded",15,,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, August 25, 2020.","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk","Page -1 of 1"
,,"Statement and Return Report

for Certification



Presidential Primary Election 2020 - 06/23/2020


Kings County
 - 
Democratic Party




Democratic President


Citywide


Vote for 1","7th Congressional District","Assembly District 49","Tulsi Gabbard",2,,,,,,,"Total Votes",861,"Unrecorded",15,,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, August 25, 2020.","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk","Page -1 of 1"
,,"Statement and Return Report

for Certification



Presidential Primary Election 2020 - 06/23/2020


Kings County
 - 
Democratic Party




Democratic President


Citywide


Vote for 1","7th Congressional District","Assembly District 49","Bernie Sanders",230,,,,,,,"Total Votes",861,"Unrecorded",15,,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, August 25, 2020.","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk","Page -1 of 1"
,,"Statement and Return Report

for Certification



Presidential Primary Election 2020 - 06/23/2020


Kings County
 - 
Democratic Party




Democratic President


Citywide


Vote for 1","7th Congressional District","Assembly District 49","Michael R. Bloomberg",44,,,,,,,"Total Votes",861,"Unrecorded",15,,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, August 25, 2020.","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk","Page -1 of 1"
,,"Statement and Return Report

for Certification



Presidential Primary Election 2020 - 06/23/2020


Kings County
 - 
Democratic Party




Democratic President


Citywide


Vote for 1","7th Congressional District","Assembly District 49","Tom Steyer",4,,,,,,,"Total Votes",861,"Unrecorded",15,,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, August 25, 2020.","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk","Page -1 of 1"
,,"Statement and Return Report

for Certification



Presidential Primary Election 2020 - 06/23/2020


Kings County
 - 
Democratic Party




Democratic President


Citywide


Vote for 1","7th Congressional District","Assembly District 49","Michael Bennet",0,,,,,,,"Total Votes",861,"Unrecorded",15,,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, August 25, 2020.","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk","Page -1 of 1"
,,"Statement and Return Report

for Certification



Presidential Primary Election 2020 - 06/23/2020


Kings County
 - 
Democratic Party




Democratic President


Citywide


Vote for 1","7th Congressional District","Assembly District 49","Elizabeth Warren",38,,,,,,,"Total Votes",861,"Unrecorded",15,,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, August 25, 2020.","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk","Page -1 of 1"
,,"Statement and Return Report

for Certification



Presidential Primary Election 2020 - 06/23/2020


Kings County
 - 
Democratic Party




Democratic President


Citywide


Vote for 1","7th Congressional District","Assembly District 49","Andrew Yang",79,,,,,,,"Total Votes",861,"Unrecorded",15,,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, August 25, 2020.","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk","Page -1 of 1"
,,"Statement and Return Report

for Certification



Presidential Primary Election 2020 - 06/23/2020


Kings County
 - 
Democratic Party




Democratic President


Citywide


Vote for 1","7th Congressional District","Assembly District 49","Deval Patrick",3,,,,,,,"Total Votes",861,"Unrecorded",15,,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, August 25, 2020.","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk","Page -1 of 1"
,,"Statement and Return Report

for Certification



Presidential Primary Election 2020 - 06/23/2020


Kings County
 - 
Democratic Party




Democratic President


Citywide


Vote for 1","7th Congressional District","Assembly District 50","Public Counter","6,003","Total Ballots","7,638","Less - Inapplicable Federal/Special Presidential Ballots",0,"Total Applicable Ballots","7,638.00",,,"Unrecorded","3,383",,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, August 25, 2020.","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk","Page -1 of 1"
,,"Statement and Return Report

for Certification



Presidential Primary Election 2020 - 06/23/2020


Kings County
 - 
Democratic Party




Democratic President


Citywide


Vote for 1","7th Congressional District","Assembly District 50","Manually Counted Emergency",1,"Total Ballots","7,638","Less - Inapplicable Federal/Special Presidential Ballots",0,"Total Applicable Ballots","7,638.00",,,"Unrecorded","3,383",,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, August 25, 2020.","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk","Page -1 of 1"
,,"Statement and Return Report

for Certification



Presidential Primary Election 2020 - 06/23/2020


Kings County
 - 
Democratic Party




Democratic President


Citywide


Vote for 1","7th Congressional District","Assembly District 50","Absentee / Military","1,401","Total Ballots","7,638","Less - Inapplicable Federal/Special Presidential Ballots",0,"Total Applicable Ballots","7,638.00",,,"Unrecorded","3,383",,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, August 25, 2020.","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk","Page -1 of 1"
,,"Statement and Return Report

for Certification



Presidential Primary Election 2020 - 06/23/2020


Kings County
 - 
Democratic Party




Democratic President


Citywide


Vote for 1","7th Congressional District","Assembly District 50","Federal",23,"Total Ballots","7,638","Less - Inapplicable Federal/Special Presidential Ballots",0,"Total Applicable Ballots","7,638.00",,,"Unrecorded","3,383",,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, August 25, 2020.","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk","Page -1 of 1"
,,"Statement and Return Report

for Certification



Presidential Primary Election 2020 - 06/23/2020


Kings County
 - 
Democratic Party




Democratic President


Citywide


Vote for 1","7th Congressional District","Assembly District 50","Affidavit",210,"Total Ballots","7,638","Less - Inapplicable Federal/Special Presidential Ballots",0,"Total Applicable Ballots","7,638.00",,,"Unrecorded","3,383",,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, August 25, 2020.","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk","Page -1 of 1"
,,"Statement and Return Report

for Certification



Presidential Primary Election 2020 - 06/23/2020


Kings County
 - 
Democratic Party




Democratic President


Citywide


Vote for 1","7th Congressional District","Assembly District 50","Pete Buttigieg",115,,,,,,,"Total Votes","4,255","Unrecorded","3,383",,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, August 25, 2020.","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk","Page -1 of 1"
,,"Statement and Return Report

for Certification



Presidential Primary Election 2020 - 06/23/2020


Kings County
 - 
Democratic Party




Democratic President


Citywide


Vote for 1","7th Congressional District","Assembly District 50","Amy Klobuchar",61,,,,,,,"Total Votes","4,255","Unrecorded","3,383",,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, August 25, 2020.","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk","Page -1 of 1"
