Contest,Candidate Issue,Party,District Name,Absentee Votes,Early Votes,Election Day Votes,Total Votes,% of Total Votes
Representative in Congress (21st District),Elise M. Stefanik,REP,"Johnsburg 1,2 ",93,12,488,593,49.87
Representative in Congress (21st District),Elise M. Stefanik,REP,"Lake George 1,2 ",148,141,759,1048,50.00
Representative in Congress (21st District),Elise M. Stefanik,REP,"Lake Luzerne 1,2 ",123,69,837,1029,58.57
Representative in Congress (21st District),Elise M. Stefanik,REP,"Stony Creek 1 ",32,3,250,285,65.67
Representative in Congress (21st District),Elise M. Stefanik,CON,"Horicon 1,2 ",10,5,40,55,5.77
Representative in Congress (21st District),Elise M. Stefanik,CON,"Thurman 1 ",3,0,34,37,6.18
Representative in Congress (21st District),Elise M. Stefanik,CON,"Warrensburg 1,2,3 ",12,7,52,71,3.83
Representative in Congress (21st District),Elise M. Stefanik,CON,"Queensbury Ward 1 1,2,3,4,5 ",46,64,135,245,5.09
Representative in Congress (21st District),Elise M. Stefanik,CON,"Queensbury Ward 2  1,2,3,4 ",27,32,104,163,3.73
Representative in Congress (21st District),Elise M. Stefanik,CON,"Queensbury Ward 3 1,2,3,4 ",43,49,126,218,5.28
Representative in Congress (21st District),Elise M. Stefanik,CON,"Queensbury Ward 4 1,2,3 ",14,24,112,150,4.73
Representative in Congress (21st District),Elise M. Stefanik,CON,"Glens Falls Ward 1 1 ",2,1,26,29,3.34
Representative in Congress (21st District),Elise M. Stefanik,CON,"Glens Falls Ward 2 1,2 ",5,9,42,56,2.97
Representative in Congress (21st District),Elise M. Stefanik,CON,"Glens Falls Ward 3 1,2 ",11,14,40,65,3.33
Representative in Congress (21st District),Elise M. Stefanik,CON,"Glens Falls Ward 4 1 ",3,0,19,22,2.78
Representative in Congress (21st District),Elise M. Stefanik,CON,"Glens Falls Ward 5 1,2 ",5,7,45,57,4.26
Representative in Congress (21st District),Elise M. Stefanik,CON,"Bolton 1,2 ",12,2,54,68,4.82
Representative in Congress (21st District),Elise M. Stefanik,CON,"Chester 1,2 ",21,4,75,100,5.32
Representative in Congress (21st District),Elise M. Stefanik,CON,"Hague 1 ",4,0,14,18,3.81
Representative in Congress (21st District),Elise M. Stefanik,CON,"Johnsburg 1,2 ",11,3,28,42,3.53
Representative in Congress (21st District),Elise M. Stefanik,CON,"Lake George 1,2 ",15,13,65,93,4.44
Representative in Congress (21st District),Elise M. Stefanik,CON,"Lake Luzerne 1,2 ",13,11,79,103,5.86
Representative in Congress (21st District),Elise M. Stefanik,CON,"Stony Creek 1 ",4,0,21,25,5.76
Representative in Congress (21st District),Tedra L. Cobb,WOR,"Horicon 1,2 ",3,0,20,23,2.41
Representative in Congress (21st District),Tedra L. Cobb,WOR,"Thurman 1 ",1,1,12,14,2.34
Representative in Congress (21st District),Tedra L. Cobb,WOR,"Warrensburg 1,2,3 ",15,9,28,52,2.81
Representative in Congress (21st District),Tedra L. Cobb,WOR,"Queensbury Ward 1 1,2,3,4,5 ",39,47,43,129,2.68
Representative in Congress (21st District),Tedra L. Cobb,WOR,"Queensbury Ward 2  1,2,3,4 ",48,59,66,173,3.96
Representative in Congress (21st District),Tedra L. Cobb,WOR,"Queensbury Ward 3 1,2,3,4 ",42,47,49,138,3.34
Representative in Congress (21st District),Tedra L. Cobb,WOR,"Queensbury Ward 4 1,2,3 ",23,29,40,92,2.90
Representative in Congress (21st District),Tedra L. Cobb,WOR,"Glens Falls Ward 1 1 ",18,7,26,51,5.88
Representative in Congress (21st District),Tedra L. Cobb,WOR,"Glens Falls Ward 2 1,2 ",39,36,50,125,6.63
Representative in Congress (21st District),Tedra L. Cobb,WOR,"Glens Falls Ward 3 1,2 ",28,42,52,122,6.25
Representative in Congress (21st District),Tedra L. Cobb,WOR,"Glens Falls Ward 4 1 ",6,8,33,47,5.95
Representative in Congress (21st District),Tedra L. Cobb,WOR,"Glens Falls Ward 5 1,2 ",13,27,32,72,5.38
Representative in Congress (21st District),Tedra L. Cobb,WOR,"Bolton 1,2 ",11,8,25,44,3.12
Representative in Congress (21st District),Tedra L. Cobb,WOR,"Chester 1,2 ",17,10,33,60,3.19
Representative in Congress (21st District),Tedra L. Cobb,WOR,"Hague 1 ",4,0,7,11,2.33
Representative in Congress (21st District),Tedra L. Cobb,WOR,"Johnsburg 1,2 ",14,4,32,50,4.21
Representative in Congress (21st District),Tedra L. Cobb,WOR,"Lake George 1,2 ",18,12,36,66,3.15
Representative in Congress (21st District),Tedra L. Cobb,WOR,"Lake Luzerne 1,2 ",9,8,24,41,2.33
Representative in Congress (21st District),Tedra L. Cobb,WOR,"Stony Creek 1 ",1,0,9,10,2.30
Representative in Congress (21st District),Elise M. Stefanik,IND,"Horicon 1,2 ",3,0,4,7,0.73
Representative in Congress (21st District),Elise M. Stefanik,IND,"Thurman 1 ",0,0,14,14,2.34
Representative in Congress (21st District),Elise M. Stefanik,IND,"Warrensburg 1,2,3 ",6,2,12,20,1.08
Representative in Congress (21st District),Elise M. Stefanik,IND,"Queensbury Ward 1 1,2,3,4,5 ",12,6,34,52,1.08
Representative in Congress (21st District),Elise M. Stefanik,IND,"Queensbury Ward 2  1,2,3,4 ",18,11,28,57,1.30
Representative in Congress (21st District),Elise M. Stefanik,IND,"Queensbury Ward 3 1,2,3,4 ",18,12,33,63,1.53
Representative in Congress (21st District),Elise M. Stefanik,IND,"Queensbury Ward 4 1,2,3 ",12,3,27,42,1.32
Representative in Congress (21st District),Elise M. Stefanik,IND,"Glens Falls Ward 1 1 ",0,1,11,12,1.38
Representative in Congress (21st District),Elise M. Stefanik,IND,"Glens Falls Ward 2 1,2 ",2,3,24,29,1.54
Representative in Congress (21st District),Elise M. Stefanik,IND,"Glens Falls Ward 3 1,2 ",3,3,11,17,0.87
Representative in Congress (21st District),Elise M. Stefanik,IND,"Glens Falls Ward 4 1 ",4,1,7,12,1.52
Representative in Congress (21st District),Elise M. Stefanik,IND,"Glens Falls Ward 5 1,2 ",3,5,14,22,1.64
Representative in Congress (21st District),Elise M. Stefanik,IND,"Bolton 1,2 ",6,1,10,17,1.21
Representative in Congress (21st District),Elise M. Stefanik,IND,"Chester 1,2 ",5,1,18,24,1.28
Representative in Congress (21st District),Elise M. Stefanik,IND,"Hague 1 ",1,0,6,7,1.48
Representative in Congress (21st District),Elise M. Stefanik,IND,"Johnsburg 1,2 ",1,0,10,11,0.93
Representative in Congress (21st District),Elise M. Stefanik,IND,"Lake George 1,2 ",4,3,15,22,1.05
Representative in Congress (21st District),Elise M. Stefanik,IND,"Lake Luzerne 1,2 ",4,1,7,12,0.68
Representative in Congress (21st District),Elise M. Stefanik,IND,"Stony Creek 1 ",0,0,2,2,0.46
Representative in Congress (21st District),Write-in,,"Horicon 1,2 ",0,0,0,0,0.00
Representative in Congress (21st District),Write-in,,"Thurman 1 ",0,0,0,0,0.00
Representative in Congress (21st District),Write-in,,"Warrensburg 1,2,3 ",0,0,1,1,0.05
Representative in Congress (21st District),Write-in,,"Queensbury Ward 1 1,2,3,4,5 ",3,1,5,9,0.19
Representative in Congress (21st District),Write-in,,"Queensbury Ward 2  1,2,3,4 ",0,1,0,1,0.02
Representative in Congress (21st District),Write-in,,"Queensbury Ward 3 1,2,3,4 ",0,0,1,1,0.02
Representative in Congress (21st District),Write-in,,"Queensbury Ward 4 1,2,3 ",0,0,2,2,0.06
Representative in Congress (21st District),Write-in,,"Glens Falls Ward 1 1 ",0,1,0,1,0.12
Representative in Congress (21st District),Write-in,,"Glens Falls Ward 2 1,2 ",2,0,1,3,0.16
Representative in Congress (21st District),Write-in,,"Glens Falls Ward 3 1,2 ",0,1,0,1,0.05
Representative in Congress (21st District),Write-in,,"Glens Falls Ward 4 1 ",0,0,1,1,0.13
Representative in Congress (21st District),Write-in,,"Glens Falls Ward 5 1,2 ",0,1,3,4,0.30
Representative in Congress (21st District),Write-in,,"Bolton 1,2 ",0,0,0,0,0.00
Representative in Congress (21st District),Write-in,,"Chester 1,2 ",0,0,1,1,0.05
Representative in Congress (21st District),Write-in,,"Hague 1 ",0,0,0,0,0.00
Representative in Congress (21st District),Write-in,,"Johnsburg 1,2 ",0,0,0,0,0.00
Representative in Congress (21st District),Write-in,,"Lake George 1,2 ",1,0,0,1,0.05
Representative in Congress (21st District),Write-in,,"Lake Luzerne 1,2 ",2,0,1,3,0.17
Representative in Congress (21st District),Write-in,,"Stony Creek 1 ",0,0,0,0,0.00
Representative in Congress (21st District),OVER VOTES,STATS,"Horicon 1,2 ",1,0,0,1,0.10
Representative in Congress (21st District),OVER VOTES,STATS,"Thurman 1 ",0,0,0,0,0.00
Representative in Congress (21st District),OVER VOTES,STATS,"Warrensburg 1,2,3 ",0,0,0,0,0.00
Representative in Congress (21st District),OVER VOTES,STATS,"Queensbury Ward 1 1,2,3,4,5 ",1,0,1,2,0.04
Representative in Congress (21st District),OVER VOTES,STATS,"Queensbury Ward 2  1,2,3,4 ",1,0,0,1,0.02
Representative in Congress (21st District),OVER VOTES,STATS,"Queensbury Ward 3 1,2,3,4 ",3,0,0,3,0.07
Representative in Congress (21st District),OVER VOTES,STATS,"Queensbury Ward 4 1,2,3 ",1,0,1,2,0.06
Representative in Congress (21st District),OVER VOTES,STATS,"Glens Falls Ward 1 1 ",1,0,0,1,0.12
Representative in Congress (21st District),OVER VOTES,STATS,"Glens Falls Ward 2 1,2 ",0,0,0,0,0.00
Representative in Congress (21st District),OVER VOTES,STATS,"Glens Falls Ward 3 1,2 ",0,0,0,0,0.00
Representative in Congress (21st District),OVER VOTES,STATS,"Glens Falls Ward 4 1 ",0,0,0,0,0.00
Representative in Congress (21st District),OVER VOTES,STATS,"Glens Falls Ward 5 1,2 ",1,0,0,1,0.07
Representative in Congress (21st District),OVER VOTES,STATS,"Bolton 1,2 ",0,0,0,0,0.00
Representative in Congress (21st District),OVER VOTES,STATS,"Chester 1,2 ",0,0,0,0,0.00
Representative in Congress (21st District),OVER VOTES,STATS,"Hague 1 ",0,0,0,0,0.00
Representative in Congress (21st District),OVER VOTES,STATS,"Johnsburg 1,2 ",1,0,1,2,0.17
Representative in Congress (21st District),OVER VOTES,STATS,"Lake George 1,2 ",0,0,0,0,0.00
Representative in Congress (21st District),OVER VOTES,STATS,"Lake Luzerne 1,2 ",0,0,0,0,0.00
Representative in Congress (21st District),OVER VOTES,STATS,"Stony Creek 1 ",0,0,0,0,0.00
Representative in Congress (21st District),UNDER VOTES,STATS,"Horicon 1,2 ",2,0,3,5,0.52
Representative in Congress (21st District),UNDER VOTES,STATS,"Thurman 1 ",2,1,12,15,2.50
Representative in Congress (21st District),UNDER VOTES,STATS,"Warrensburg 1,2,3 ",2,4,22,28,1.51
Representative in Congress (21st District),UNDER VOTES,STATS,"Queensbury Ward 1 1,2,3,4,5 ",26,14,24,64,1.33
Representative in Congress (21st District),UNDER VOTES,STATS,"Queensbury Ward 2  1,2,3,4 ",23,10,17,50,1.14
Representative in Congress (21st District),UNDER VOTES,STATS,"Queensbury Ward 3 1,2,3,4 ",16,9,12,37,0.90
Representative in Congress (21st District),UNDER VOTES,STATS,"Queensbury Ward 4 1,2,3 ",10,2,19,31,0.98
Representative in Congress (21st District),UNDER VOTES,STATS,"Glens Falls Ward 1 1 ",8,0,10,18,2.07
Representative in Congress (21st District),UNDER VOTES,STATS,"Glens Falls Ward 2 1,2 ",6,6,11,23,1.22
Representative in Congress (21st District),UNDER VOTES,STATS,"Glens Falls Ward 3 1,2 ",5,2,9,16,0.82
Representative in Congress (21st District),UNDER VOTES,STATS,"Glens Falls Ward 4 1 ",1,0,8,9,1.14
Representative in Congress (21st District),UNDER VOTES,STATS,"Glens Falls Ward 5 1,2 ",2,1,14,17,1.27
Representative in Congress (21st District),UNDER VOTES,STATS,"Bolton 1,2 ",5,0,8,13,0.92
Representative in Congress (21st District),UNDER VOTES,STATS,"Chester 1,2 ",2,1,14,17,0.90
Representative in Congress (21st District),UNDER VOTES,STATS,"Hague 1 ",2,0,3,5,1.06
Representative in Congress (21st District),UNDER VOTES,STATS,"Johnsburg 1,2 ",9,0,8,17,1.43
Representative in Congress (21st District),UNDER VOTES,STATS,"Lake George 1,2 ",8,3,21,32,1.53
Representative in Congress (21st District),UNDER VOTES,STATS,"Lake Luzerne 1,2 ",9,1,12,22,1.25
Representative in Congress (21st District),UNDER VOTES,STATS,"Stony Creek 1 ",6,0,5,11,2.53
State Senator (45th District),Kimberly A. Davis,DEM,"Horicon 1,2 ",63,39,120,222,24.03
State Senator (45th District),Kimberly A. Davis,DEM,"Thurman 1 ",32,17,76,125,21.89
State Senator (45th District),Kimberly A. Davis,DEM,"Warrensburg 1,2,3 ",168,101,241,510,28.13
State Senator (45th District),Kimberly A. Davis,DEM,"Queensbury Ward 1 1,2,3,4,5 ",523,554,322,1399,29.42
State Senator (45th District),Kimberly A. Davis,DEM,"Queensbury Ward 2  1,2,3,4 ",691,540,371,1602,37.13
State Senator (45th District),Kimberly A. Davis,DEM,"Queensbury Ward 3 1,2,3,4 ",464,448,329,1241,30.45
State Senator (45th District),Kimberly A. Davis,DEM,"Queensbury Ward 4 1,2,3 ",369,302,324,995,31.68
State Senator (45th District),Kimberly A. Davis,DEM,"Glens Falls Ward 1 1 ",113,69,172,354,41.21
State Senator (45th District),Kimberly A. Davis,DEM,"Glens Falls Ward 2 1,2 ",265,203,334,802,43.23
State Senator (45th District),Kimberly A. Davis,DEM,"Glens Falls Ward 3 1,2 ",276,317,351,944,49.32
State Senator (45th District),Kimberly A. Davis,DEM,"Glens Falls Ward 4 1 ",118,98,133,349,45.09
State Senator (45th District),Kimberly A. Davis,DEM,"Glens Falls Ward 5 1,2 ",164,97,255,516,39.36
State Senator (45th District),Kimberly A. Davis,DEM,"Bolton 1,2 ",139,88,229,456,33.38
State Senator (45th District),Kimberly A. Davis,DEM,"Chester 1,2 ",187,77,218,482,26.14
State Senator (45th District),Kimberly A. Davis,DEM,"Hague 1 ",55,13,110,178,38.44
State Senator (45th District),Kimberly A. Davis,DEM,"Johnsburg 1,2 ",139,52,213,404,34.59
State Senator (45th District),Kimberly A. Davis,DEM,"Lake George 1,2 ",227,184,265,676,32.70
State Senator (45th District),Kimberly A. Davis,DEM,"Lake Luzerne 1,2 ",125,108,226,459,26.58
State Senator (45th District),Kimberly A. Davis,DEM,"Stony Creek 1 ",21,5,69,95,22.41
State Senator (45th District),Daniel G. Stec,REP,"Horicon 1,2 ",121,30,455,606,65.58
State Senator (45th District),Daniel G. Stec,REP,"Thurman 1 ",28,16,323,367,64.27
State Senator (45th District),Daniel G. Stec,REP,"Warrensburg 1,2,3 ",156,102,873,1131,62.38
State Senator (45th District),Daniel G. Stec,REP,"Queensbury Ward 1 1,2,3,4,5 ",538,745,1532,2815,59.20
State Senator (45th District),Daniel G. Stec,REP,"Queensbury Ward 2  1,2,3,4 ",450,555,1211,2216,51.37
State Senator (45th District),Daniel G. Stec,REP,"Queensbury Ward 3 1,2,3,4 ",435,611,1297,2343,57.48
State Senator (45th District),Daniel G. Stec,REP,"Queensbury Ward 4 1,2,3 ",287,345,1168,1800,57.31
State Senator (45th District),Daniel G. Stec,REP,"Glens Falls Ward 1 1 ",64,36,290,390,45.40
State Senator (45th District),Daniel G. Stec,REP,"Glens Falls Ward 2 1,2 ",119,104,579,802,43.23
State Senator (45th District),Daniel G. Stec,REP,"Glens Falls Ward 3 1,2 ",125,146,465,736,38.45
State Senator (45th District),Daniel G. Stec,REP,"Glens Falls Ward 4 1 ",60,45,235,340,43.93
State Senator (45th District),Daniel G. Stec,REP,"Glens Falls Ward 5 1,2 ",71,71,493,635,48.44
State Senator (45th District),Daniel G. Stec,REP,"Bolton 1,2 ",127,47,595,769,56.30
State Senator (45th District),Daniel G. Stec,REP,"Chester 1,2 ",180,66,927,1173,63.61
State Senator (45th District),Daniel G. Stec,REP,"Hague 1 ",35,14,200,249,53.78
State Senator (45th District),Daniel G. Stec,REP,"Johnsburg 1,2 ",107,16,523,646,55.31
State Senator (45th District),Daniel G. Stec,REP,"Lake George 1,2 ",180,175,820,1175,56.85
State Senator (45th District),Daniel G. Stec,REP,"Lake Luzerne 1,2 ",136,85,878,1099,63.64
State Senator (45th District),Daniel G. Stec,REP,"Stony Creek 1 ",33,2,258,293,69.10
State Senator (45th District),Daniel G. Stec,CON,"Horicon 1,2 ",16,6,38,60,6.49
State Senator (45th District),Daniel G. Stec,CON,"Thurman 1 ",5,0,43,48,8.41
State Senator (45th District),Daniel G. Stec,CON,"Warrensburg 1,2,3 ",16,9,67,92,5.07
State Senator (45th District),Daniel G. Stec,CON,"Queensbury Ward 1 1,2,3,4,5 ",66,81,164,311,6.54
State Senator (45th District),Daniel G. Stec,CON,"Queensbury Ward 2  1,2,3,4 ",48,59,131,238,5.52
State Senator (45th District),Daniel G. Stec,CON,"Queensbury Ward 3 1,2,3,4 ",61,61,145,267,6.55
State Senator (45th District),Daniel G. Stec,CON,"Queensbury Ward 4 1,2,3 ",23,35,120,178,5.67
State Senator (45th District),Daniel G. Stec,CON,"Glens Falls Ward 1 1 ",7,2,32,41,4.77
State Senator (45th District),Daniel G. Stec,CON,"Glens Falls Ward 2 1,2 ",13,17,50,80,4.31
State Senator (45th District),Daniel G. Stec,CON,"Glens Falls Ward 3 1,2 ",13,17,59,89,4.65
State Senator (45th District),Daniel G. Stec,CON,"Glens Falls Ward 4 1 ",3,1,24,28,3.62
State Senator (45th District),Daniel G. Stec,CON,"Glens Falls Ward 5 1,2 ",8,11,47,66,5.03
State Senator (45th District),Daniel G. Stec,CON,"Bolton 1,2 ",16,4,62,82,6.00
State Senator (45th District),Daniel G. Stec,CON,"Chester 1,2 ",22,4,78,104,5.64
State Senator (45th District),Daniel G. Stec,CON,"Hague 1 ",4,0,12,16,3.46
State Senator (45th District),Daniel G. Stec,CON,"Johnsburg 1,2 ",10,4,34,48,4.11
State Senator (45th District),Daniel G. Stec,CON,"Lake George 1,2 ",18,18,82,118,5.71
State Senator (45th District),Daniel G. Stec,CON,"Lake Luzerne 1,2 ",13,12,85,110,6.37
State Senator (45th District),Daniel G. Stec,CON,"Stony Creek 1 ",4,0,23,27,6.37
State Senator (45th District),Kimberly A. Davis,WOR,"Horicon 1,2 ",3,0,19,22,2.38
State Senator (45th District),Kimberly A. Davis,WOR,"Thurman 1 ",2,1,16,19,3.33
State Senator (45th District),Kimberly A. Davis,WOR,"Warrensburg 1,2,3 ",11,11,35,57,3.14
State Senator (45th District),Kimberly A. Davis,WOR,"Queensbury Ward 1 1,2,3,4,5 ",28,38,39,105,2.21
State Senator (45th District),Kimberly A. Davis,WOR,"Queensbury Ward 2  1,2,3,4 ",47,52,52,151,3.50
State Senator (45th District),Kimberly A. Davis,WOR,"Queensbury Ward 3 1,2,3,4 ",28,36,37,101,2.48
State Senator (45th District),Kimberly A. Davis,WOR,"Queensbury Ward 4 1,2,3 ",23,29,46,98,3.12
State Senator (45th District),Kimberly A. Davis,WOR,"Glens Falls Ward 1 1 ",16,6,35,57,6.64
State Senator (45th District),Kimberly A. Davis,WOR,"Glens Falls Ward 2 1,2 ",29,32,53,114,6.15
State Senator (45th District),Kimberly A. Davis,WOR,"Glens Falls Ward 3 1,2 ",23,38,41,102,5.33
State Senator (45th District),Kimberly A. Davis,WOR,"Glens Falls Ward 4 1 ",4,8,29,41,5.30
State Senator (45th District),Kimberly A. Davis,WOR,"Glens Falls Ward 5 1,2 ",11,22,27,60,4.58
State Senator (45th District),Kimberly A. Davis,WOR,"Bolton 1,2 ",8,9,17,34,2.49
State Senator (45th District),Kimberly A. Davis,WOR,"Chester 1,2 ",14,8,36,58,3.15
State Senator (45th District),Kimberly A. Davis,WOR,"Hague 1 ",3,1,7,11,2.38
State Senator (45th District),Kimberly A. Davis,WOR,"Johnsburg 1,2 ",13,4,33,50,4.28
State Senator (45th District),Kimberly A. Davis,WOR,"Lake George 1,2 ",15,14,31,60,2.90
State Senator (45th District),Kimberly A. Davis,WOR,"Lake Luzerne 1,2 ",14,8,21,43,2.49
State Senator (45th District),Kimberly A. Davis,WOR,"Stony Creek 1 ",0,0,7,7,1.65
State Senator (45th District),Daniel G. Stec,IND,"Horicon 1,2 ",3,1,10,14,1.52
State Senator (45th District),Daniel G. Stec,IND,"Thurman 1 ",2,0,10,12,2.10
State Senator (45th District),Daniel G. Stec,IND,"Warrensburg 1,2,3 ",9,2,9,20,1.10
State Senator (45th District),Daniel G. Stec,IND,"Queensbury Ward 1 1,2,3,4,5 ",41,32,48,121,2.54
State Senator (45th District),Daniel G. Stec,IND,"Queensbury Ward 2  1,2,3,4 ",38,26,41,105,2.43
State Senator (45th District),Daniel G. Stec,IND,"Queensbury Ward 3 1,2,3,4 ",31,37,54,122,2.99
State Senator (45th District),Daniel G. Stec,IND,"Queensbury Ward 4 1,2,3 ",16,17,36,69,2.20
State Senator (45th District),Daniel G. Stec,IND,"Glens Falls Ward 1 1 ",0,1,14,15,1.75
State Senator (45th District),Daniel G. Stec,IND,"Glens Falls Ward 2 1,2 ",8,6,39,53,2.86
State Senator (45th District),Daniel G. Stec,IND,"Glens Falls Ward 3 1,2 ",8,9,25,42,2.19
State Senator (45th District),Daniel G. Stec,IND,"Glens Falls Ward 4 1 ",4,1,11,16,2.07
State Senator (45th District),Daniel G. Stec,IND,"Glens Falls Ward 5 1,2 ",11,5,18,34,2.59
State Senator (45th District),Daniel G. Stec,IND,"Bolton 1,2 ",5,2,17,24,1.76
State Senator (45th District),Daniel G. Stec,IND,"Chester 1,2 ",3,4,20,27,1.46
State Senator (45th District),Daniel G. Stec,IND,"Hague 1 ",2,0,7,9,1.94
State Senator (45th District),Daniel G. Stec,IND,"Johnsburg 1,2 ",4,0,15,19,1.63
State Senator (45th District),Daniel G. Stec,IND,"Lake George 1,2 ",8,8,21,37,1.79
State Senator (45th District),Daniel G. Stec,IND,"Lake Luzerne 1,2 ",6,2,8,16,0.93
State Senator (45th District),Daniel G. Stec,IND,"Stony Creek 1 ",1,0,1,2,0.47
State Senator (45th District),Write-in,,"Horicon 1,2 ",0,0,0,0,0.00
State Senator (45th District),Write-in,,"Thurman 1 ",0,0,0,0,0.00
State Senator (45th District),Write-in,,"Warrensburg 1,2,3 ",0,0,3,3,0.17
State Senator (45th District),Write-in,,"Queensbury Ward 1 1,2,3,4,5 ",1,1,2,4,0.08
State Senator (45th District),Write-in,,"Queensbury Ward 2  1,2,3,4 ",1,1,0,2,0.05
State Senator (45th District),Write-in,,"Queensbury Ward 3 1,2,3,4 ",1,0,1,2,0.05
State Senator (45th District),Write-in,,"Queensbury Ward 4 1,2,3 ",0,0,1,1,0.03
State Senator (45th District),Write-in,,"Glens Falls Ward 1 1 ",2,0,0,2,0.23
State Senator (45th District),Write-in,,"Glens Falls Ward 2 1,2 ",1,0,3,4,0.22
State Senator (45th District),Write-in,,"Glens Falls Ward 3 1,2 ",0,1,0,1,0.05
State Senator (45th District),Write-in,,"Glens Falls Ward 4 1 ",0,0,0,0,0.00
State Senator (45th District),Write-in,,"Glens Falls Ward 5 1,2 ",0,0,0,0,0.00
State Senator (45th District),Write-in,,"Bolton 1,2 ",1,0,0,1,0.07
State Senator (45th District),Write-in,,"Chester 1,2 ",0,0,0,0,0.00
State Senator (45th District),Write-in,,"Hague 1 ",0,0,0,0,0.00
State Senator (45th District),Write-in,,"Johnsburg 1,2 ",0,0,1,1,0.09
State Senator (45th District),Write-in,,"Lake George 1,2 ",1,0,0,1,0.05
State Senator (45th District),Write-in,,"Lake Luzerne 1,2 ",0,0,0,0,0.00
State Senator (45th District),Write-in,,"Stony Creek 1 ",0,0,0,0,0.00
State Senator (45th District),OVER VOTES,STATS,"Horicon 1,2 ",1,0,0,1,0.11
State Senator (45th District),OVER VOTES,STATS,"Thurman 1 ",0,0,0,0,0.00
State Senator (45th District),OVER VOTES,STATS,"Warrensburg 1,2,3 ",0,0,0,0,0.00
State Senator (45th District),OVER VOTES,STATS,"Queensbury Ward 1 1,2,3,4,5 ",2,0,0,2,0.04
State Senator (45th District),OVER VOTES,STATS,"Queensbury Ward 2  1,2,3,4 ",4,0,0,4,0.09
State Senator (45th District),OVER VOTES,STATS,"Queensbury Ward 3 1,2,3,4 ",3,0,0,3,0.07
State Senator (45th District),OVER VOTES,STATS,"Queensbury Ward 4 1,2,3 ",1,0,0,1,0.03
State Senator (45th District),OVER VOTES,STATS,"Glens Falls Ward 1 1 ",0,0,0,0,0.00
State Senator (45th District),OVER VOTES,STATS,"Glens Falls Ward 2 1,2 ",1,1,0,2,0.11
State Senator (45th District),OVER VOTES,STATS,"Glens Falls Ward 3 1,2 ",1,0,0,1,0.05
State Senator (45th District),OVER VOTES,STATS,"Glens Falls Ward 4 1 ",0,0,0,0,0.00
State Senator (45th District),OVER VOTES,STATS,"Glens Falls Ward 5 1,2 ",1,0,0,1,0.08
State Senator (45th District),OVER VOTES,STATS,"Bolton 1,2 ",0,0,0,0,0.00
State Senator (45th District),OVER VOTES,STATS,"Chester 1,2 ",0,0,0,0,0.00
State Senator (45th District),OVER VOTES,STATS,"Hague 1 ",0,0,0,0,0.00
State Senator (45th District),OVER VOTES,STATS,"Johnsburg 1,2 ",0,0,0,0,0.00
State Senator (45th District),OVER VOTES,STATS,"Lake George 1,2 ",0,0,0,0,0.00
State Senator (45th District),OVER VOTES,STATS,"Lake Luzerne 1,2 ",0,0,0,0,0.00
State Senator (45th District),OVER VOTES,STATS,"Stony Creek 1 ",0,0,0,0,0.00
State Senator (45th District),UNDER VOTES,STATS,"Horicon 1,2 ",6,1,24,31,3.35
State Senator (45th District),UNDER VOTES,STATS,"Thurman 1 ",1,2,40,43,7.53
State Senator (45th District),UNDER VOTES,STATS,"Warrensburg 1,2,3 ",11,8,44,63,3.47
State Senator (45th District),UNDER VOTES,STATS,"Queensbury Ward 1 1,2,3,4,5 ",27,26,47,100,2.10
State Senator (45th District),UNDER VOTES,STATS,"Queensbury Ward 2  1,2,3,4 ",32,23,36,91,2.11
State Senator (45th District),UNDER VOTES,STATS,"Queensbury Ward 3 1,2,3,4 ",27,15,30,72,1.77
State Senator (45th District),UNDER VOTES,STATS,"Queensbury Ward 4 1,2,3 ",15,7,36,58,1.85
State Senator (45th District),UNDER VOTES,STATS,"Glens Falls Ward 1 1 ",10,2,14,26,3.03
State Senator (45th District),UNDER VOTES,STATS,"Glens Falls Ward 2 1,2 ",8,9,29,46,2.48
State Senator (45th District),UNDER VOTES,STATS,"Glens Falls Ward 3 1,2 ",8,7,26,41,2.14
State Senator (45th District),UNDER VOTES,STATS,"Glens Falls Ward 4 1 ",3,1,15,19,2.45
State Senator (45th District),UNDER VOTES,STATS,"Glens Falls Ward 5 1,2 ",5,7,29,41,3.13
State Senator (45th District),UNDER VOTES,STATS,"Bolton 1,2 ",8,4,36,48,3.51
State Senator (45th District),UNDER VOTES,STATS,"Chester 1,2 ",7,2,32,41,2.22
State Senator (45th District),UNDER VOTES,STATS,"Hague 1 ",6,0,7,13,2.81
State Senator (45th District),UNDER VOTES,STATS,"Johnsburg 1,2 ",10,0,30,40,3.42
State Senator (45th District),UNDER VOTES,STATS,"Lake George 1,2 ",8,3,42,53,2.56
State Senator (45th District),UNDER VOTES,STATS,"Lake Luzerne 1,2 ",12,6,32,50,2.90
State Senator (45th District),UNDER VOTES,STATS,"Stony Creek 1 ",8,0,12,20,4.72
Member of Assembly (114th District),Claudia K. Braymer,DEM,"Horicon 1,2 ",59,36,116,211,22.74
Member of Assembly (114th District),Claudia K. Braymer,DEM,"Thurman 1 ",32,16,76,124,21.72
Member of Assembly (114th District),Claudia K. Braymer,DEM,"Warrensburg 1,2,3 ",173,102,286,561,31.45
Member of Assembly (114th District),Claudia K. Braymer,DEM,"Queensbury Ward 1 1,2,3,4,5 ",644,708,480,1832,38.98
