Contest,Candidate Issue,Party,District Name,Absentee Votes,Early Votes,Election Day Votes,Total Votes,% of Total Votes
Presidential Electors for President and Vice President,Don Blankenship,,"Montgomery - D17  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Montgomery - D18  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Mount Hope - D1  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Mount Hope - D2  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Mount Hope - D3  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Mount Hope - D4  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"New Windsor - D1  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"New Windsor - D2  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"New Windsor - D3  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"New Windsor - D4  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"New Windsor - D5  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"New Windsor - D6  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"New Windsor - D7  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"New Windsor - D8  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"New Windsor - D9  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"New Windsor - D10  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"New Windsor - D11  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"New Windsor - D12  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"New Windsor - D13  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"New Windsor - D14  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"New Windsor - D15  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"New Windsor - D16  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"New Windsor - D17  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"New Windsor - D18  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"New Windsor - D19  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"New Windsor - D20  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"New Windsor - D21  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"New Windsor - D22  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Newburgh Town - D1  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Newburgh Town - D2  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Newburgh Town - D3  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Newburgh Town - D4  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Newburgh Town - D5  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Newburgh Town - D6  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Newburgh Town - D7  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Newburgh Town - D8  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Newburgh Town - D9  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Newburgh Town - D10  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Newburgh Town - D11  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Newburgh Town - D12  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Newburgh Town - D13  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Newburgh Town - D14  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Newburgh Town - D15  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Newburgh Town - D16  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Newburgh Town - D17  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Newburgh Town - D18  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Newburgh Town - D19  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Newburgh Town - D20  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Newburgh Town - D21  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Newburgh Town - D22  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Newburgh Town - D23  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Newburgh Town - D24  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Newburgh Town - D25  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Newburgh Town - D26  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Newburgh Town - D27  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Tuxedo - D1  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Tuxedo - D2  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Tuxedo - D3  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Tuxedo - D4  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Wallkill - W1 - D1  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Wallkill - W1 - D2  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Wallkill - W1 - D3  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Wallkill - W1 - D4  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Wallkill - W1 - D5  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Wallkill - W1 - D6  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Wallkill - W1 - D7  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Wallkill - W2 - D1  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Wallkill - W2 - D2  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Wallkill - W2 - D3  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Wallkill - W2 - D4  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Wallkill - W2 - D5  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Wallkill - W2 - D6  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Wallkill - W2 - D7  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Wallkill - W3 - D1  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Wallkill - W3 - D2  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Wallkill - W3 - D3  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Wallkill - W3 - D4  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Wallkill - W3 - D5  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Wallkill - W3 - D6  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Wallkill - W3 - D7  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Wallkill - W4 - D1  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Wallkill - W4 - D2  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Wallkill - W4 - D3  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Wallkill - W4 - D4  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Wallkill - W4 - D5  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Warwick - D1  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Warwick - D2  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Warwick - D3  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Warwick - D4  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Warwick - D5  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Warwick - D6  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Warwick - D7  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Warwick - D8  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Warwick - D9  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Warwick - D10  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Warwick - D11  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Warwick - D12  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Warwick - D13  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Warwick - D14  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Warwick - D15  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Warwick - D16  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Warwick - D17  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Warwick - D18  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Warwick - D19  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Warwick - D20  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Warwick - D21  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Warwick - D22  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Warwick - D23  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Warwick - D24  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Warwick - D25  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Warwick - D26  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Warwick - D27  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Warwick - D28  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Warwick - D29  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Warwick - D30  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Warwick - D31  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Wawayanda - D1  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Wawayanda - D2  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Wawayanda - D3  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Wawayanda - D4  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Wawayanda - D5  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Wawayanda - D6  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Woodbury - D1  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Woodbury - D2  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Woodbury - D3  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Woodbury - D4  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Woodbury - D5  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Woodbury - D6  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Woodbury - D7  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Woodbury - D8  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Woodbury - D9  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Don Blankenship,,"Woodbury - D10  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Middletown - W1 - D1  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Middletown - W1 - D2  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Middletown - W1 - D3  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Middletown - W1 - D4  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Middletown - W1 - D5  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Middletown - W1 - D6  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Middletown - W2 - D1  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Middletown - W2 - D2  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Middletown - W2 - D3  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Middletown - W2 - D4  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Middletown - W2 - D5  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Middletown - W2 - D6  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Middletown - W2 - D7  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Middletown - W3 - D1  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Middletown - W3 - D2  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Middletown - W3 - D3  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Middletown - W3 - D4  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Middletown - W3 - D5  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Middletown - W3 - D6  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Middletown - W4 - D1  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Middletown - W4 - D2  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Middletown - W4 - D3  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Middletown - W4 - D4  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Middletown - W4 - D5  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Middletown - W4 - D6  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Middletown - W4 - D7  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Middletown - W4 - D8  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"City of Newburgh - W1 - D1  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"City of Newburgh - W1 - D2  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"City of Newburgh - W1 - D3  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"City of Newburgh - W1 - D4  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"City of Newburgh - W2 - D1  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"City of Newburgh - W2 - D2  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"City of Newburgh - W3 - D1  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"City of Newburgh - W3 - D2  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"City of Newburgh - W3 - D3  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"City of Newburgh - W3 - D4  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"City of Newburgh - W4 - D1  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"City of Newburgh - W4 - D2  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"City of Newburgh - W4 - D3  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"City of Newburgh - W4 - D4  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"City of Newburgh - W4 - D5  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Port Jervis - W1 - D1  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Port Jervis - W1 - D2  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Port Jervis - W2 - D1  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Port Jervis - W2 - D2  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Port Jervis - W3 - D1  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Port Jervis - W3 - D2  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Port Jervis - W4 - D1  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Port Jervis - W4 - D2  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Blooming Grove - W1 - D1  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Blooming Grove - W1 - D2  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Blooming Grove - W1 - D3  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Blooming Grove - W1 - D4  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Blooming Grove - W2 - D1  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Blooming Grove - W2 - D2  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Blooming Grove - W2 - D3  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Blooming Grove - W3 - D1  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Blooming Grove - W3 - D2  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Blooming Grove - W3 - D3  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Blooming Grove - W3 - D4  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Blooming Grove - W4 - D1  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Blooming Grove - W4 - D2  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Blooming Grove - W4 - D3  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Blooming Grove - W5 - D1  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Blooming Grove - W5 - D2  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Blooming Grove - W5 - D3  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Blooming Grove - W5 - D4  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Blooming Grove - W5 - D5  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Blooming Grove - W6 - D1  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Blooming Grove - W6 - D2  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Blooming Grove - W6 - D3  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Blooming Grove - W6 - D4  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Chester - D1  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Chester - D2  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Chester - D3  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Chester - D4  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Chester - D5  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Chester - D6  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Chester - D7  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Chester - D8  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Chester - D9  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Chester - D10  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Chester - D11  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Chester - D12  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Goshen - D13  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Cornwall - D1  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Cornwall - D2  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Cornwall - D3  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Cornwall - D4  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Cornwall - D5  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Cornwall - D6  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Cornwall - D7  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Cornwall - D8  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Cornwall - D9  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Cornwall - D10  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Cornwall - D11  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Cornwall - D12  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Cornwall - D13  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Cornwall - D14  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Crawford - D1  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Crawford - D2  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Crawford - D3  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Crawford - D4  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Crawford - D5  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Crawford - D6  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Crawford - D7  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Crawford - D8  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Deerpark - D1  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Deerpark - D2  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Deerpark - D3  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Deerpark - D4  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Deerpark - D5  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Deerpark - D6  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Deerpark - D7  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Goshen - D1  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Goshen - D2  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Goshen - D3  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Goshen - D4  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Goshen - D5  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Goshen - D6  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Goshen - D7  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Goshen - D8  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Goshen - D9  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Goshen - D10  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Goshen - D11  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Goshen - D12  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Greenville - D1  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Greenville - D2  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Greenville - D3  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Greenville - D4  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Hamptonburgh - D1  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Hamptonburgh - D2  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Hamptonburgh - D3  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Hamptonburgh - D4  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Hamptonburgh - D5  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Highlands - D1  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Highlands - D2  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Highlands - D3  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Highlands - D4  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Highlands - D5  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Highlands - D6  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Minisink - D1  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Minisink - D2  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Minisink - D3  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Minisink - D4  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Monroe - D1  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Monroe - D2  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Monroe - D3  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Monroe - D4  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Monroe - D5  ",0,0,0,0,0.00
Presidential Electors for President and Vice President,Mark Charles,,"Monroe - D6  ",0,0,0,0,0.00
